For condition '658', Best Medicine ID: 101269, Confidence: 2.247229717214014
For condition '272', Best Medicine ID: 27616, Confidence: 0.9246788480739525
For condition '777', Best Medicine ID: 18568, Confidence: 1.6010909876115234
For condition '798', Best Medicine ID: 161822, Confidence: 1.5941467236600668
For condition '6', Best Medicine ID: 192367, Confidence: 0.3679434816464608
For condition '727', Best Medicine ID: 40861, Confidence: 1.4048594827043603
For condition '818', Best Medicine ID: 176060, Confidence: 1.6674497640604584
For condition '817', Best Medicine ID: 20249, Confidence: 1.6717905511208908
For condition '829', Best Medicine ID: 193402, Confidence: 0.6320249447475503
For condition '831', Best Medicine ID: 176071, Confidence: 1.913803702168769
For condition '828', Best Medicine ID: 113792, Confidence: 0.9595830202347124
